dataset,mean_agreement,high_agreement_frac,improvement,base_mse,mean_gate
ETTm2,0.7708333134651184,0.6979166666666666,-0.31903878505575545,36.69675827026367,0.6860119700431824
ETTm2,0.6934523582458496,0.6458333333333334,41.42505293940515,9.361187934875488,0.6302083134651184
ETTm2,0.324404776096344,0.03125,-4.684830757032782,1.3739713430404663,0.0654761865735054
ETTm2,0.6398809552192688,0.5416666666666666,4.585708331869799,4.353098392486572,0.5141368508338928
ETTm2,0.4851190149784088,0.4479166666666667,7.421236715493075,4.7160162925720215,0.385416716337204
ETTm2,0.5267857313156128,0.5,-7.385318848928403,0.9739829897880554,0.4322916567325592
ETTm2,0.8095238208770752,0.9479166666666666,10.892592498554441,8.348699569702148,0.8385416865348816
ETTm2,0.4077381193637848,0.375,1.1487040677647335,10.51394271850586,0.314732164144516
ETTm2,0.5,0.2604166666666667,-14.594193129664445,12.638690948486328,0.2611607313156128
ETTm2,0.8035715222358704,0.78125,-18.607391054804584,10.211536407470703,0.7671130299568176
ETTm2,0.3660714328289032,0.20833333333333334,11.769569841428197,1.067415714263916,0.1986607164144516
ETTm2,0.3154761791229248,0.07291666666666667,3.2070861603230445,12.09716796875,0.0900297537446022
ETTm2,0.3898809254169464,0.23958333333333334,-0.40444948400785985,58.40470886230469,0.2157738208770752
ETTm2,0.5029761791229248,0.3854166666666667,-7.396729669901678,25.970483779907227,0.3377976417541504
ETTm2,0.8035714626312256,0.9583333333333334,11.987359739805798,14.33619213104248,0.8363094329833984
ETTm2,0.455357164144516,0.14583333333333334,10.220172976554414,24.208940505981445,0.1897321343421936
ETTm2,0.6160714626312256,0.5729166666666666,6.766592750564354,6.937992572784424,0.5089285969734192
ETTm2,0.886904776096344,0.9479166666666666,-27.68637689499939,11.596927642822266,0.8921130299568176
ETTm2,0.6249999403953552,0.53125,-12.598767183059834,0.3628363609313965,0.500744104385376
ETTm2,0.5446428656578064,0.4583333333333333,13.492791500909346,25.359182357788086,0.4010416567325592
ETTm2,0.7291667461395264,0.9375,-40.11689984666179,10.591511726379395,0.770089328289032
ETTm2,0.9940476417541504,1.0,27.6331940726453,16.239927291870117,0.995535671710968
ETTm2,0.4464285671710968,0.25,-24.126681363460406,11.631935119628906,0.25
ETTm2,0.6696428656578064,0.6666666666666666,1.2594485885327897,19.419883728027344,0.5915178656578064
ETTm2,0.43452373147010803,0.17708333333333334,-12.27004504101074,4.514549255371094,0.1867559403181076
ETTm2,0.2648809254169464,0.0,2.434879696976847,14.049195289611816,0.03050594963133335
ETTm2,0.6309522986412048,0.46875,-6.538133471442532,4.577577114105225,0.48437508940696716
ETTm2,0.3363095223903656,0.15625,-4.578672379239606,6.242605209350586,0.1488095223903656
ETTm2,0.5119047164916992,0.4270833333333333,16.216721409067762,6.360987186431885,0.3846726715564728
ETTm2,0.28273805975914,0.14583333333333334,1.2198156925652717,31.75807762145996,0.1287202388048172
ETTm2,0.4434523582458496,0.28125,2.2582247972807026,32.55876922607422,0.2886904776096344
ETTm2,0.7023809552192688,0.78125,2.938806065648023,49.65142822265625,0.6837797164916992
ETTm2,0.4047618806362152,0.14583333333333334,4.592687799521826,13.936507225036621,0.1592261791229248
ETTm2,0.4821428954601288,0.3645833333333333,8.56671951920365,16.79998016357422,0.3370535671710968
ETTm2,0.5714285969734192,0.46875,22.886461715503703,26.569005966186523,0.4263392984867096
ETTm2,0.8363094925880432,0.8229166666666666,23.045006163437034,11.16384220123291,0.8035714030265808
